song1,song2,distance
aji_joto_tara,guit_ivanov-kramskoi_variations_on_do_not_wake_her,214.252344514
aji_joto_tara,guit_ives_ayre_no2,285.456405489
aji_joto_tara,guit_jobim_a_felicidade,412.517075526
aji_joto_tara,guit_kapsberger_libro_primo_di_lauto_toccata_6,490.293726522
aji_joto_tara,guit_kleynjans_op060_2_barcarolles_1_lent,444.665328311
aji_joto_tara,guit_kleynjans_op140_petite_suite_in_g_1_valse_triste,277.709128324
aji_joto_tara,guit_kleynjans_op177_o_cordula,320.893641991
aji_joto_tara,guit_koshkin_ballade,853.1213299
aji_joto_tara,guit_koshkin_da_capo_01_intrada,777.57179893
aji_joto_tara,guit_koshkin_da_capo_02_melody,244.022449752
aji_joto_tara,guit_koshkin_da_capo_03_dance,332.891431489
aji_joto_tara,guit_koshkin_da_capo_04_ballad,247.490174191
aji_joto_tara,guit_koshkin_da_capo_05_snowflakes,212.062964626
aji_joto_tara,guit_koshkin_da_capo_06_desert,685.119030135
aji_joto_tara,guit_koshkin_da_capo_07_five_crotchets,466.475037453
aji_joto_tara,guit_koshkin_da_capo_08_dialogue,406.924046557
aji_joto_tara,guit_koshkin_da_capo_09_elephant,1530.18010176
aji_joto_tara,guit_koshkin_da_capo_10_waltz,260.302006971
aji_joto_tara,guit_koshkin_da_capo_11_without_landscape,1163.38088356
aji_joto_tara,guit_koshkin_da_capo_12_ceremony,862.86799844
aji_joto_tara,guit_koshkin_da_capo_13_ukranian_folk_song,159.071007436
aji_joto_tara,guit_koshkin_da_capo_14_carcassi,255.550279305
aji_joto_tara,guit_koshkin_da_capo_15_etude,1989.66208096
aji_joto_tara,guit_koshkin_da_capo_16_humoresque,640.286583529
aji_joto_tara,guit_koshkin_da_capo_17_the_sailors_fate,438.242836136
aji_joto_tara,guit_koshkin_da_capo_18_jota,536.120563792
aji_joto_tara,guit_koshkin_da_capo_19_polka,358.124962009
aji_joto_tara,guit_koshkin_da_capo_20_jig,245.253142208
aji_joto_tara,guit_koshkin_da_capo_21_dotted_line,373.762851999
aji_joto_tara,guit_koshkin_da_capo_22_choros,760.58358034
aji_joto_tara,guit_koshkin_da_capo_23_aria,913.198440315
aji_joto_tara,guit_koshkin_da_capo_24_amphion,427.514259293
aji_joto_tara,guit_koshkin_mascarades_01_poissons_dor,199.792425566
aji_joto_tara,guit_koshkin_mascarades_02_le_bateau_en_papier,271.308481905
aji_joto_tara,guit_koshkin_mascarades_03_rodeo,178.760533509
aji_joto_tara,guit_koshkin_mascarades_04_valse,287.761924644
aji_joto_tara,guit_koshkin_mascarades_05_la_marelle,175.589070226
aji_joto_tara,guit_koshkin_mascarades_06_le_dragon_de_papier,178.205800625
aji_joto_tara,guit_koshkin_mascarades_07_la_chanson_du_menestrel,317.529642978
aji_joto_tara,guit_koshkin_mascarades_08_pinocchio,318.3919072
aji_joto_tara,guit_koshkin_mascarades_09_colombine,618.254894944
aji_joto_tara,guit_koshkin_prelude_and_waltz,134.233654293
aji_joto_tara,guit_koshkin_the_fall_of_birds_1_andante_quasi_passacaglia,255.703534547
aji_joto_tara,guit_koshkin_the_fall_of_birds_2_toccata,192.184326633
aji_joto_tara,guit_koshkin_the_porcelain_tower_0_theme_by_stepan_rak,297.833469961
aji_joto_tara,guit_koshkin_the_porcelain_tower_1_march_the_yellow_paper_dragon,255.648421932
aji_joto_tara,guit_koshkin_the_porcelain_tower_2_valse_bamboo_umbrella,210.055567759
aji_joto_tara,guit_koshkin_the_porcelain_tower_3_sarabande_sphere_inside_sphere,465.808585496
aji_joto_tara,guit_koshkin_the_porcelain_tower_6_toccata_fox-werewolf,172.696604494
aji_joto_tara,guit_koshkin_the_princes_toys_1_the_mischievous_prince,394.302771649
aji_joto_tara,guit_koshkin_the_princes_toys_2_the_mechanical_monkey,169.314506242
aji_joto_tara,guit_koshkin_the_princes_toys_3_the_doll_with_blinking_eyes,208.536333768
aji_joto_tara,guit_koshkin_the_princes_toys_4_playing_soldiers,177.98909126
aji_joto_tara,guit_krieger_menuett,328.899746516
aji_joto_tara,guit_kruisbrink_dont_give_up,472.495725635
aji_joto_tara,guit_kuffner_080_sonatines_01_andantino_1,557.055607231
aji_joto_tara,jani_e_bhul,108.873146404
aji_joto_tara,jedin_sokol_mukul,159.124733858
aji_joto_tara,je_ratey_mor,237.556530081
aji_joto_tara,jhilik_jhilik,166.44549302
aji_joto_tara,jibone_ki_pabo_na,98.874819539
aji_joto_tara,jodi_aponar_monay,180.005305132
aji_joto_tara,jodio_rojoni,150.53947174
aji_joto_tara,jogotey_anondojoggey,392.53751727
aji_joto_tara,ke_jabi_ay,642.600169082
aji_joto_tara,ke_jeno_go,362.813254766
aji_joto_tara,keno_pantho_e_choncholota,345.95434343
aji_joto_tara,ki_dekhle_tumi,314.123775594
aji_joto_tara,ki_hobe_ar,118.902983224
aji_joto_tara,monay_robey_ki_na_robey,99.5064068668
aji_joto_tara,muktiro_mondiro,134.782589014
aji_joto_tara,na_na_na_aj,3281.51710048
aji_joto_tara,nishirat,116.38074504
aji_joto_tara,o_amar_mon_jomunar,121.150662595
aji_joto_tara,oi_gachher_patay,402.26430526
aji_joto_tara,oi_je_sobuj,460.185009647
aji_joto_tara,o_majhi_bhaiyo,1237.38543249
aji_joto_tara,o_mayna_kotha_kao,116.393516635
aji_joto_tara,o_polash_o_shimul,423.582562425
aji_joto_tara,o_projapoti,168.993890673
aji_joto_tara,orey_bagha_re,83.6188585695
aji_joto_tara,orey_sabdhani_pothik,178.972890725
aji_joto_tara,pallabini_go,103.485288285
aji_joto_tara,prantorero_gan,417.40531206
aji_joto_tara,prem_ekbari_esechhilo,125.134036673
aji_joto_tara,rong_shudhu,149.322614006
aji_joto_tara,shanto_noditi,411.633089275
aji_joto_tara,shesh_nahi_je,111.118283352
aji_joto_tara,sobai_to_sukhi,109.26509845
aji_joto_tara,surjo_dobar_pala,383.847683259
aji_joto_tara,tai_tomar_anondo,120.717191606
aji_joto_tara,tomar_shesh_bicharer,171.034507884
aji_joto_tara,tumi_je_giyachho,354.266189075
amar_andhar_ghorer,1976,172.805890458
amar_andhar_ghorer,aji_bijano_ghorey,202.126201968
amar_andhar_ghorer,aji_joto_tara,248.47546768
amar_andhar_ghorer,amar_andhar_ghorer,0.000347682933988
amar_andhar_ghorer,amar_bhuban_to_aj_holo_kangal,207.307210137
amar_andhar_ghorer,amar_din_katey_na,179.352997938
amar_andhar_ghorer,amar_ei_path_chawatei_anondo,209.148231203
amar_andhar_ghorer,amar_swapno,195.627611185
amar_andhar_ghorer,ami_andharer_rong,295.10335911
amar_andhar_ghorer,ami_cholte_cholte,274.731485404
amar_andhar_ghorer,ami_jamini,544.721182472
amar_andhar_ghorer,ami_tomay_joto,309.041749758
amar_andhar_ghorer,andhar_amar_rerec,195.045477568
amar_andhar_ghorer,ay_bristi_jhnepe,470.156921744
amar_andhar_ghorer,bnash_baganer_mathar_opor,299.883110699
amar_andhar_ghorer,bonotol,235.477476244
amar_andhar_ghorer,bristi_thamar,228.116200779
amar_andhar_ghorer,charano_dhorite_diyo_go_amarey,547.987589973
amar_andhar_ghorer,chompaboti,221.499291338
amar_andhar_ghorer,chonchol_sonali,170.936476384
amar_andhar_ghorer,dadra_kaharbay,324.146408212
amar_andhar_ghorer,dujoney_dekha_holo,195.571034436
amar_andhar_ghorer,ei_duniyay_bhai,188.939900533
amar_andhar_ghorer,ei_ghum_ghum_chand,155.216639797
amar_andhar_ghorer,ekti_madhabi,217.635596077
amar_andhar_ghorer,emon_ekta_jhor_uthuk,373.177823849
amar_andhar_ghorer,geetgobinda,343.839813768
amar_andhar_ghorer,guit_horetzky_op18_amusemens_08,163.461909716
amar_andhar_ghorer,guit_horetzky_op18_amusemens_09,276.795901083
amar_andhar_ghorer,guit_horetzky_op18_amusemens_10,214.039270685
amar_andhar_ghorer,guit_horetzky_op18_amusemens_11,165.494829865
amar_andhar_ghorer,guit_horetzky_op18_amusemens_12,302.666920561
amar_andhar_ghorer,guit_horetzky_op23_12_divertimentos_01_tempo_di_valse_in_c,292.278908029
amar_andhar_ghorer,guit_hummel_allegretto_in_c,212.496083519
amar_andhar_ghorer,guit_ivanov-kramskoi_prelude_in_e,447.663507528
amar_andhar_ghorer,guit_ivanov-kramskoi_sad_tune,227.575404499
amar_andhar_ghorer,guit_ivanov-kramskoi_variations_on_do_not_wake_her,182.292346777
amar_andhar_ghorer,guit_ives_ayre_no2,220.14965003
amar_andhar_ghorer,guit_jobim_a_felicidade,193.013537287
amar_andhar_ghorer,guit_kapsberger_libro_primo_di_lauto_toccata_6,186.669857138
amar_andhar_ghorer,guit_kleynjans_op060_2_barcarolles_1_lent,217.408088396
amar_andhar_ghorer,guit_kleynjans_op140_petite_suite_in_g_1_valse_triste,194.525337552
amar_andhar_ghorer,guit_kleynjans_op177_o_cordula,170.485723283
amar_andhar_ghorer,guit_koshkin_ballade,344.451102123
amar_andhar_ghorer,guit_koshkin_da_capo_01_intrada,311.340389588
amar_andhar_ghorer,guit_koshkin_da_capo_02_melody,148.935921319
amar_andhar_ghorer,guit_koshkin_da_capo_03_dance,176.269758093
amar_andhar_ghorer,guit_koshkin_da_capo_04_ballad,146.673298256
amar_andhar_ghorer,guit_koshkin_da_capo_05_snowflakes,145.646368169
amar_andhar_ghorer,guit_koshkin_da_capo_06_desert,287.804462567
amar_andhar_ghorer,guit_koshkin_da_capo_07_five_crotchets,206.360313722
amar_andhar_ghorer,guit_koshkin_da_capo_08_dialogue,230.815406091
amar_andhar_ghorer,guit_koshkin_da_capo_09_elephant,473.692050299
amar_andhar_ghorer,guit_koshkin_da_capo_10_waltz,212.438927214
amar_andhar_ghorer,guit_koshkin_da_capo_11_without_landscape,423.758129145
amar_andhar_ghorer,guit_koshkin_da_capo_12_ceremony,338.581277189
amar_andhar_ghorer,guit_koshkin_da_capo_13_ukranian_folk_song,190.3779579
amar_andhar_ghorer,guit_koshkin_da_capo_14_carcassi,164.583165055
amar_andhar_ghorer,guit_koshkin_da_capo_15_etude,718.535923854
amar_andhar_ghorer,guit_koshkin_da_capo_16_humoresque,333.367680408
amar_andhar_ghorer,guit_koshkin_da_capo_17_the_sailors_fate,226.895146156
amar_andhar_ghorer,guit_koshkin_da_capo_18_jota,258.037579183
amar_andhar_ghorer,guit_koshkin_da_capo_19_polka,200.187895713
